File solutions-new/wines/ils/solution3.csv
elapsed_time;max_gen_reached
129.441186;False
alpha;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;time;verbose
3;0.75;1;10;3;en;300;0.2;50;c;3;10;7200;False
Elite
evaluation;0;1;10;11;2;3;4;5;6;7;8;9
0.698179;1;0;0;1;0;1;0;0;0;0;0;0
0.671707;1;0;0;0;0;1;0;0;1;0;0;0
0.666886;0;0;0;1;0;0;1;0;0;1;0;0
0.659788;0;1;1;0;0;0;0;0;0;0;0;1
0.647514;0;0;0;0;0;1;0;0;1;0;0;1
0.637756;0;0;0;1;0;0;0;0;0;1;0;1
0.634866;0;0;0;0;0;1;0;0;1;1;0;0
0.631337;1;0;1;0;0;1;0;0;0;0;0;0
0.628674;0;1;0;0;0;1;0;0;1;0;0;0
0.624724;1;0;1;0;0;0;0;0;0;1;0;0
Mean;Std;It_total;It_best;Time_best;Number_solutions_hash;Hash_access;Hash_add
0.65014;0.02236;159;39;56.9637348651886;776;7227;776
