File solutions-new/moba/grasp/solution2.csv
elapsed_time;max_gen_reached
846.065058;False
alpha;const;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;time;verbose
3;1;0.75;2;10;10;en;300;0.2;6;c;3;5;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193594;0;1;0;1;0;1;0;0;0
0.192653;0;1;0;0;0;1;0;0;1
0.179381;0;1;1;1;0;1;0;0;0
0.168207;0;1;1;0;0;1;0;0;1
0.159068;1;1;0;1;0;1;0;0;0
0.156796;1;1;1;1;0;1;0;0;0
0.140865;1;1;1;0;0;1;0;0;1
0.138338;1;1;0;0;0;1;0;1;0
0.137342;1;1;1;0;0;1;0;0;0
0.122863;0;1;1;0;0;1;1;0;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.15891;0.02316;62;1;191;5752;191
